"year","month","day","country","flu_activity"
2003,"04","13","Uruguay",111
2003,"04","20","Argentina",186
2003,"04","20","Australia",NA
2003,"04","20","Austria",NA
2003,"04","20","Belgium",NA
2003,"04","20","Bolivia",537
2003,"04","20","Brazil",287
2003,"04","20","Bulgaria",NA
2003,"04","20","Canada",NA
2003,"04","20","Chile",1
2003,"04","20","France",NA
2003,"04","20","Germany",NA
2003,"04","20","Hungary",NA
2003,"04","20","Japan",NA
2003,"04","20","Mexico",NA
2003,"04","20","Netherlands",NA
2003,"04","20","New Zealand",NA
2003,"04","20","Norway",NA
2003,"04","20","Paraguay",NA
2003,"04","20","Peru",527
2003,"04","20","Poland",NA
2003,"04","20","Romania",726
2003,"04","20","Russia",NA
2003,"04","20","South Africa",NA
2003,"04","20","Spain",NA
2003,"04","20","Sweden",NA
2003,"04","20","Switzerland",NA
2003,"04","20","Ukraine",NA
2003,"04","20","United States",NA
2003,"04","20","Uruguay",106
2003,"04","27","Argentina",209
2003,"04","27","Australia",NA
2003,"04","27","Austria",NA
2003,"04","27","Belgium",NA
2003,"04","27","Bolivia",525
2003,"04","27","Brazil",299
2003,"04","27","Bulgaria",NA
2003,"04","27","Canada",NA
2003,"04","27","Chile",2
2003,"04","27","France",NA
2003,"04","27","Germany",NA
2003,"04","27","Hungary",NA
2003,"04","27","Japan",NA
2003,"04","27","Mexico",NA
2003,"04","27","Netherlands",NA
2003,"04","27","New Zealand",NA
2003,"04","27","Norway",NA
2003,"04","27","Paraguay",NA
2003,"04","27","Peru",567
2003,"04","27","Poland",NA
2003,"04","27","Romania",703
2003,"04","27","Russia",NA
2003,"04","27","South Africa",NA
2003,"04","27","Spain",NA
2003,"04","27","Sweden",NA
2003,"04","27","Switzerland",NA
2003,"04","27","Ukraine",NA
2003,"04","27","United States",NA
2003,"04","27","Uruguay",104
2003,"05","04","Argentina",239
2003,"05","04","Australia",NA
2003,"05","04","Austria",NA
2003,"05","04","Belgium",NA
2003,"05","04","Bolivia",493
2003,"05","04","Brazil",319
2003,"05","04","Bulgaria",NA
2003,"05","04","Canada",NA
2003,"05","04","Chile",4
2003,"05","04","France",NA
2003,"05","04","Germany",NA
2003,"05","04","Hungary",NA
2003,"05","04","Japan",NA
2003,"05","04","Mexico",NA
2003,"05","04","Netherlands",NA
2003,"05","04","New Zealand",NA
2003,"05","04","Norway",NA
